book_id,program,department,year,semester,subject,book_title,author,publisher,edition,isbn,available_copies,shelf
B00183,Diploma,Automobile Engineering,FY,1,Automobile Engines,Automobile Engines - Complete Guide,Author 34,McGraw Hill,4th,978-93-100183,9,AU-1-4
B00184,Diploma,Automobile Engineering,FY,1,Auto CAD,Auto CAD - Complete Guide,Author 35,McGraw Hill,5th,978-93-100184,2,AU-1-5
B00185,Diploma,Automobile Engineering,FY,1,Maintenance,Maintenance - Complete Guide,Author 36,McGraw Hill,1th,978-93-100185,3,AU-1-6
B00186,Diploma,Automobile Engineering,FY,2,Automobile Engineering,Automobile Engineering - Complete Guide,Author 37,McGraw Hill,2th,978-93-100186,4,AU-1-7
B00187,Diploma,Automobile Engineering,FY,2,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 38,McGraw Hill,3th,978-93-100187,5,AU-1-8
B00188,Diploma,Automobile Engineering,FY,2,Automobile Engines,Automobile Engines - Complete Guide,Author 39,McGraw Hill,4th,978-93-100188,6,AU-1-9
B00189,Diploma,Automobile Engineering,FY,2,Auto CAD,Auto CAD - Complete Guide,Author 40,McGraw Hill,5th,978-93-100189,7,AU-1-10
B00190,Diploma,Automobile Engineering,FY,2,Maintenance,Maintenance - Complete Guide,Author 41,McGraw Hill,1th,978-93-100190,8,AU-1-11
B00191,Diploma,Automobile Engineering,SY,3,Automobile Engineering,Automobile Engineering - Complete Guide,Author 42,McGraw Hill,2th,978-93-100191,9,AU-2-12
B00192,Diploma,Automobile Engineering,SY,3,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 43,McGraw Hill,3th,978-93-100192,2,AU-2-13
B00193,Diploma,Automobile Engineering,SY,3,Automobile Engines,Automobile Engines - Complete Guide,Author 44,McGraw Hill,4th,978-93-100193,3,AU-2-14
B00194,Diploma,Automobile Engineering,SY,3,Auto CAD,Auto CAD - Complete Guide,Author 45,McGraw Hill,5th,978-93-100194,4,AU-2-15
B00195,Diploma,Automobile Engineering,SY,3,Maintenance,Maintenance - Complete Guide,Author 46,McGraw Hill,1th,978-93-100195,5,AU-2-16
B00196,Diploma,Automobile Engineering,SY,4,Automobile Engineering,Automobile Engineering - Complete Guide,Author 47,McGraw Hill,2th,978-93-100196,6,AU-2-17
B00197,Diploma,Automobile Engineering,SY,4,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 48,McGraw Hill,3th,978-93-100197,7,AU-2-18
B00198,Diploma,Automobile Engineering,SY,4,Automobile Engines,Automobile Engines - Complete Guide,Author 49,McGraw Hill,4th,978-93-100198,8,AU-2-19
B00199,Diploma,Automobile Engineering,SY,4,Auto CAD,Auto CAD - Complete Guide,Author 50,McGraw Hill,5th,978-93-100199,9,AU-2-20
B00200,Diploma,Automobile Engineering,SY,4,Maintenance,Maintenance - Complete Guide,Author 1,McGraw Hill,1th,978-93-100200,2,AU-2-1
B00201,Diploma,Automobile Engineering,TY,5,Automobile Engineering,Automobile Engineering - Complete Guide,Author 2,McGraw Hill,2th,978-93-100201,3,AU-3-2
B00202,Diploma,Automobile Engineering,TY,5,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 3,McGraw Hill,3th,978-93-100202,4,AU-3-3
B00203,Diploma,Automobile Engineering,TY,5,Automobile Engines,Automobile Engines - Complete Guide,Author 4,McGraw Hill,4th,978-93-100203,5,AU-3-4
B00204,Diploma,Automobile Engineering,TY,5,Auto CAD,Auto CAD - Complete Guide,Author 5,McGraw Hill,5th,978-93-100204,6,AU-3-5
B00205,Diploma,Automobile Engineering,TY,5,Maintenance,Maintenance - Complete Guide,Author 6,McGraw Hill,1th,978-93-100205,7,AU-3-6
B00206,Diploma,Automobile Engineering,TY,6,Automobile Engineering,Automobile Engineering - Complete Guide,Author 7,McGraw Hill,2th,978-93-100206,8,AU-3-7
B00207,Diploma,Automobile Engineering,TY,6,Vehicle Dynamics,Vehicle Dynamics - Complete Guide,Author 8,McGraw Hill,3th,978-93-100207,9,AU-3-8
B00208,Diploma,Automobile Engineering,TY,6,Automobile Engines,Automobile Engines - Complete Guide,Author 9,McGraw Hill,4th,978-93-100208,2,AU-3-9
B00209,Diploma,Automobile Engineering,TY,6,Auto CAD,Auto CAD - Complete Guide,Author 10,McGraw Hill,5th,978-93-100209,3,AU-3-10
B00210,Diploma,Automobile Engineering,TY,6,Maintenance,Maintenance - Complete Guide,Author 11,McGraw Hill,1th,978-93-100210,4,AU-3-11
B00211,BE,Computer Engineering,FY,1,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 12,McGraw Hill,2th,978-93-100211,5,CO-1-12
B00212,BE,Computer Engineering,FY,1,Python Programming,Python Programming - Complete Guide,Author 13,McGraw Hill,3th,978-93-100212,6,CO-1-13
B00213,BE,Computer Engineering,FY,1,Data Structures,Data Structures - Complete Guide,Author 14,McGraw Hill,4th,978-93-100213,7,CO-1-14
B00214,BE,Computer Engineering,FY,1,DBMS,DBMS - Complete Guide,Author 15,McGraw Hill,5th,978-93-100214,8,CO-1-15
B00215,BE,Computer Engineering,FY,1,Computer Networks,Computer Networks - Complete Guide,Author 16,McGraw Hill,1th,978-93-100215,9,CO-1-16
B00216,BE,Computer Engineering,FY,2,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 17,McGraw Hill,2th,978-93-100216,2,CO-1-17
B00217,BE,Computer Engineering,FY,2,Python Programming,Python Programming - Complete Guide,Author 18,McGraw Hill,3th,978-93-100217,3,CO-1-18
B00218,BE,Computer Engineering,FY,2,Data Structures,Data Structures - Complete Guide,Author 19,McGraw Hill,4th,978-93-100218,4,CO-1-19
B00219,BE,Computer Engineering,FY,2,DBMS,DBMS - Complete Guide,Author 20,McGraw Hill,5th,978-93-100219,5,CO-1-20
B00220,BE,Computer Engineering,FY,2,Computer Networks,Computer Networks - Complete Guide,Author 21,McGraw Hill,1th,978-93-100220,6,CO-1-1
B00221,BE,Computer Engineering,SY,3,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 22,McGraw Hill,2th,978-93-100221,7,CO-2-2
B00222,BE,Computer Engineering,SY,3,Python Programming,Python Programming - Complete Guide,Author 23,McGraw Hill,3th,978-93-100222,8,CO-2-3
B00223,BE,Computer Engineering,SY,3,Data Structures,Data Structures - Complete Guide,Author 24,McGraw Hill,4th,978-93-100223,9,CO-2-4
B00224,BE,Computer Engineering,SY,3,DBMS,DBMS - Complete Guide,Author 25,McGraw Hill,5th,978-93-100224,2,CO-2-5
B00225,BE,Computer Engineering,SY,3,Computer Networks,Computer Networks - Complete Guide,Author 26,McGraw Hill,1th,978-93-100225,3,CO-2-6
B00226,BE,Computer Engineering,SY,4,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 27,McGraw Hill,2th,978-93-100226,4,CO-2-7
B00227,BE,Computer Engineering,SY,4,Python Programming,Python Programming - Complete Guide,Author 28,McGraw Hill,3th,978-93-100227,5,CO-2-8
B00228,BE,Computer Engineering,SY,4,Data Structures,Data Structures - Complete Guide,Author 29,McGraw Hill,4th,978-93-100228,6,CO-2-9
B00229,BE,Computer Engineering,SY,4,DBMS,DBMS - Complete Guide,Author 30,McGraw Hill,5th,978-93-100229,7,CO-2-10
B00230,BE,Computer Engineering,SY,4,Computer Networks,Computer Networks - Complete Guide,Author 31,McGraw Hill,1th,978-93-100230,8,CO-2-11
B00231,BE,Computer Engineering,TY,5,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 32,McGraw Hill,2th,978-93-100231,9,CO-3-12
B00232,BE,Computer Engineering,TY,5,Python Programming,Python Programming - Complete Guide,Author 33,McGraw Hill,3th,978-93-100232,2,CO-3-13
B00233,BE,Computer Engineering,TY,5,Data Structures,Data Structures - Complete Guide,Author 34,McGraw Hill,4th,978-93-100233,3,CO-3-14
B00234,BE,Computer Engineering,TY,5,DBMS,DBMS - Complete Guide,Author 35,McGraw Hill,5th,978-93-100234,4,CO-3-15
B00235,BE,Computer Engineering,TY,5,Computer Networks,Computer Networks - Complete Guide,Author 36,McGraw Hill,1th,978-93-100235,5,CO-3-16
B00236,BE,Computer Engineering,TY,6,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 37,McGraw Hill,2th,978-93-100236,6,CO-3-17
B00237,BE,Computer Engineering,TY,6,Python Programming,Python Programming - Complete Guide,Author 38,McGraw Hill,3th,978-93-100237,7,CO-3-18
B00238,BE,Computer Engineering,TY,6,Data Structures,Data Structures - Complete Guide,Author 39,McGraw Hill,4th,978-93-100238,8,CO-3-19
B00239,BE,Computer Engineering,TY,6,DBMS,DBMS - Complete Guide,Author 40,McGraw Hill,5th,978-93-100239,9,CO-3-20
B00240,BE,Computer Engineering,TY,6,Computer Networks,Computer Networks - Complete Guide,Author 41,McGraw Hill,1th,978-93-100240,2,CO-3-1
B00241,BE,Computer Engineering,LY,7,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 42,McGraw Hill,2th,978-93-100241,3,CO-4-2
B00242,BE,Computer Engineering,LY,7,Python Programming,Python Programming - Complete Guide,Author 43,McGraw Hill,3th,978-93-100242,4,CO-4-3
B00243,BE,Computer Engineering,LY,7,Data Structures,Data Structures - Complete Guide,Author 44,McGraw Hill,4th,978-93-100243,5,CO-4-4
B00244,BE,Computer Engineering,LY,7,DBMS,DBMS - Complete Guide,Author 45,McGraw Hill,5th,978-93-100244,6,CO-4-5
B00245,BE,Computer Engineering,LY,7,Computer Networks,Computer Networks - Complete Guide,Author 46,McGraw Hill,1th,978-93-100245,7,CO-4-6
B00246,BE,Computer Engineering,LY,8,Programming Fundamentals,Programming Fundamentals - Complete Guide,Author 47,McGraw Hill,2th,978-93-100246,8,CO-4-7
B00247,BE,Computer Engineering,LY,8,Python Programming,Python Programming - Complete Guide,Author 48,McGraw Hill,3th,978-93-100247,9,CO-4-8
B00248,BE,Computer Engineering,LY,8,Data Structures,Data Structures - Complete Guide,Author 49,McGraw Hill,4th,978-93-100248,2,CO-4-9
B00249,BE,Computer Engineering,LY,8,DBMS,DBMS - Complete Guide,Author 50,McGraw Hill,5th,978-93-100249,3,CO-4-10
B00250,BE,Computer Engineering,LY,8,Computer Networks,Computer Networks - Complete Guide,Author 1,McGraw Hill,1th,978-93-100250,4,CO-4-11
B00251,BE,Information Technology,FY,1,Web Development,Web Development - Complete Guide,Author 2,McGraw Hill,2th,978-93-100251,5,IN-1-12
B00252,BE,Information Technology,FY,1,Cloud Computing,Cloud Computing - Complete Guide,Author 3,McGraw Hill,3th,978-93-100252,6,IN-1-13
B00253,BE,Information Technology,FY,1,Cyber Security,Cyber Security - Complete Guide,Author 4,McGraw Hill,4th,978-93-100253,7,IN-1-14
B00254,BE,Information Technology,FY,1,Java Programming,Java Programming - Complete Guide,Author 5,McGraw Hill,5th,978-93-100254,8,IN-1-15
B00255,BE,Information Technology,FY,1,Software Engineering,Software Engineering - Complete Guide,Author 6,McGraw Hill,1th,978-93-100255,9,IN-1-16
B00256,BE,Information Technology,FY,2,Web Development,Web Development - Complete Guide,Author 7,McGraw Hill,2th,978-93-100256,2,IN-1-17
B00257,BE,Information Technology,FY,2,Cloud Computing,Cloud Computing - Complete Guide,Author 8,McGraw Hill,3th,978-93-100257,3,IN-1-18
B00258,BE,Information Technology,FY,2,Cyber Security,Cyber Security - Complete Guide,Author 9,McGraw Hill,4th,978-93-100258,4,IN-1-19
B00259,BE,Information Technology,FY,2,Java Programming,Java Programming - Complete Guide,Author 10,McGraw Hill,5th,978-93-100259,5,IN-1-20
B00260,BE,Information Technology,FY,2,Software Engineering,Software Engineering - Complete Guide,Author 11,McGraw Hill,1th,978-93-100260,6,IN-1-1
B00261,BE,Information Technology,SY,3,Web Development,Web Development - Complete Guide,Author 12,McGraw Hill,2th,978-93-100261,7,IN-2-2
B00262,BE,Information Technology,SY,3,Cloud Computing,Cloud Computing - Complete Guide,Author 13,McGraw Hill,3th,978-93-100262,8,IN-2-3
B00263,BE,Information Technology,SY,3,Cyber Security,Cyber Security - Complete Guide,Author 14,McGraw Hill,4th,978-93-100263,9,IN-2-4
B00264,BE,Information Technology,SY,3,Java Programming,Java Programming - Complete Guide,Author 15,McGraw Hill,5th,978-93-100264,2,IN-2-5
B00265,BE,Information Technology,SY,3,Software Engineering,Software Engineering - Complete Guide,Author 16,McGraw Hill,1th,978-93-100265,3,IN-2-6
B00266,BE,Information Technology,SY,4,Web Development,Web Development - Complete Guide,Author 17,McGraw Hill,2th,978-93-100266,4,IN-2-7
B00267,BE,Information Technology,SY,4,Cloud Computing,Cloud Computing - Complete Guide,Author 18,McGraw Hill,3th,978-93-100267,5,IN-2-8
B00268,BE,Information Technology,SY,4,Cyber Security,Cyber Security - Complete Guide,Author 19,McGraw Hill,4th,978-93-100268,6,IN-2-9
B00269,BE,Information Technology,SY,4,Java Programming,Java Programming - Complete Guide,Author 20,McGraw Hill,5th,978-93-100269,7,IN-2-10
B00270,BE,Information Technology,SY,4,Software Engineering,Software Engineering - Complete Guide,Author 21,McGraw Hill,1th,978-93-100270,8,IN-2-11
B00271,BE,Information Technology,TY,5,Web Development,Web Development - Complete Guide,Author 22,McGraw Hill,2th,978-93-100271,9,IN-3-12
B00272,BE,Information Technology,TY,5,Cloud Computing,Cloud Computing - Complete Guide,Author 23,McGraw Hill,3th,978-93-100272,2,IN-3-13
B00273,BE,Information Technology,TY,5,Cyber Security,Cyber Security - Complete Guide,Author 24,McGraw Hill,4th,978-93-100273,3,IN-3-14
B00274,BE,Information Technology,TY,5,Java Programming,Java Programming - Complete Guide,Author 25,McGraw Hill,5th,978-93-100274,4,IN-3-15
B00275,BE,Information Technology,TY,5,Software Engineering,Software Engineering - Complete Guide,Author 26,McGraw Hill,1th,978-93-100275,5,IN-3-16
B00276,BE,Information Technology,TY,6,Web Development,Web Development - Complete Guide,Author 27,McGraw Hill,2th,978-93-100276,6,IN-3-17
B00277,BE,Information Technology,TY,6,Cloud Computing,Cloud Computing - Complete Guide,Author 28,McGraw Hill,3th,978-93-100277,7,IN-3-18
B00278,BE,Information Technology,TY,6,Cyber Security,Cyber Security - Complete Guide,Author 29,McGraw Hill,4th,978-93-100278,8,IN-3-19
B00279,BE,Information Technology,TY,6,Java Programming,Java Programming - Complete Guide,Author 30,McGraw Hill,5th,978-93-100279,9,IN-3-20
B00280,BE,Information Technology,TY,6,Software Engineering,Software Engineering - Complete Guide,Author 31,McGraw Hill,1th,978-93-100280,2,IN-3-1
B00281,BE,Information Technology,LY,7,Web Development,Web Development - Complete Guide,Author 32,McGraw Hill,2th,978-93-100281,3,IN-4-2
B00282,BE,Information Technology,LY,7,Cloud Computing,Cloud Computing - Complete Guide,Author 33,McGraw Hill,3th,978-93-100282,4,IN-4-3
B00283,BE,Information Technology,LY,7,Cyber Security,Cyber Security - Complete Guide,Author 34,McGraw Hill,4th,978-93-100283,5,IN-4-4
B00284,BE,Information Technology,LY,7,Java Programming,Java Programming - Complete Guide,Author 35,McGraw Hill,5th,978-93-100284,6,IN-4-5
B00285,BE,Information Technology,LY,7,Software Engineering,Software Engineering - Complete Guide,Author 36,McGraw Hill,1th,978-93-100285,7,IN-4-6
B00286,BE,Information Technology,LY,8,Web Development,Web Development - Complete Guide,Author 37,McGraw Hill,2th,978-93-100286,8,IN-4-7
B00287,BE,Information Technology,LY,8,Cloud Computing,Cloud Computing - Complete Guide,Author 38,McGraw Hill,3th,978-93-100287,9,IN-4-8
B00288,BE,Information Technology,LY,8,Cyber Security,Cyber Security - Complete Guide,Author 39,McGraw Hill,4th,978-93-100288,2,IN-4-9
B00289,BE,Information Technology,LY,8,Java Programming,Java Programming - Complete Guide,Author 40,McGraw Hill,5th,978-93-100289,3,IN-4-10
B00290,BE,Information Technology,LY,8,Software Engineering,Software Engineering - Complete Guide,Author 41,McGraw Hill,1th,978-93-100290,4,IN-4-11
B00291,BE,Civil Engineering,FY,1,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 42,McGraw Hill,2th,978-93-100291,5,CI-1-12
B00292,BE,Civil Engineering,FY,1,Surveying,Surveying - Complete Guide,Author 43,McGraw Hill,3th,978-93-100292,6,CI-1-13
B00293,BE,Civil Engineering,FY,1,Concrete Technology,Concrete Technology - Complete Guide,Author 44,McGraw Hill,4th,978-93-100293,7,CI-1-14
B00294,BE,Civil Engineering,FY,1,Transportation Engineering,Transportation Engineering - Complete Guide,Author 45,McGraw Hill,5th,978-93-100294,8,CI-1-15
B00295,BE,Civil Engineering,FY,1,Structural Analysis,Structural Analysis - Complete Guide,Author 46,McGraw Hill,1th,978-93-100295,9,CI-1-16
B00296,BE,Civil Engineering,FY,2,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 47,McGraw Hill,2th,978-93-100296,2,CI-1-17
B00297,BE,Civil Engineering,FY,2,Surveying,Surveying - Complete Guide,Author 48,McGraw Hill,3th,978-93-100297,3,CI-1-18
B00298,BE,Civil Engineering,FY,2,Concrete Technology,Concrete Technology - Complete Guide,Author 49,McGraw Hill,4th,978-93-100298,4,CI-1-19
B00299,BE,Civil Engineering,FY,2,Transportation Engineering,Transportation Engineering - Complete Guide,Author 50,McGraw Hill,5th,978-93-100299,5,CI-1-20
B00300,BE,Civil Engineering,FY,2,Structural Analysis,Structural Analysis - Complete Guide,Author 1,McGraw Hill,1th,978-93-100300,6,CI-1-1
B00301,BE,Civil Engineering,SY,3,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 2,McGraw Hill,2th,978-93-100301,7,CI-2-2
B00302,BE,Civil Engineering,SY,3,Surveying,Surveying - Complete Guide,Author 3,McGraw Hill,3th,978-93-100302,8,CI-2-3
B00303,BE,Civil Engineering,SY,3,Concrete Technology,Concrete Technology - Complete Guide,Author 4,McGraw Hill,4th,978-93-100303,9,CI-2-4
B00304,BE,Civil Engineering,SY,3,Transportation Engineering,Transportation Engineering - Complete Guide,Author 5,McGraw Hill,5th,978-93-100304,2,CI-2-5
B00305,BE,Civil Engineering,SY,3,Structural Analysis,Structural Analysis - Complete Guide,Author 6,McGraw Hill,1th,978-93-100305,3,CI-2-6
B00306,BE,Civil Engineering,SY,4,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 7,McGraw Hill,2th,978-93-100306,4,CI-2-7
B00307,BE,Civil Engineering,SY,4,Surveying,Surveying - Complete Guide,Author 8,McGraw Hill,3th,978-93-100307,5,CI-2-8
B00308,BE,Civil Engineering,SY,4,Concrete Technology,Concrete Technology - Complete Guide,Author 9,McGraw Hill,4th,978-93-100308,6,CI-2-9
B00309,BE,Civil Engineering,SY,4,Transportation Engineering,Transportation Engineering - Complete Guide,Author 10,McGraw Hill,5th,978-93-100309,7,CI-2-10
B00310,BE,Civil Engineering,SY,4,Structural Analysis,Structural Analysis - Complete Guide,Author 11,McGraw Hill,1th,978-93-100310,8,CI-2-11
B00311,BE,Civil Engineering,TY,5,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 12,McGraw Hill,2th,978-93-100311,9,CI-3-12
B00312,BE,Civil Engineering,TY,5,Surveying,Surveying - Complete Guide,Author 13,McGraw Hill,3th,978-93-100312,2,CI-3-13
B00313,BE,Civil Engineering,TY,5,Concrete Technology,Concrete Technology - Complete Guide,Author 14,McGraw Hill,4th,978-93-100313,3,CI-3-14
B00314,BE,Civil Engineering,TY,5,Transportation Engineering,Transportation Engineering - Complete Guide,Author 15,McGraw Hill,5th,978-93-100314,4,CI-3-15
B00315,BE,Civil Engineering,TY,5,Structural Analysis,Structural Analysis - Complete Guide,Author 16,McGraw Hill,1th,978-93-100315,5,CI-3-16
B00316,BE,Civil Engineering,TY,6,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 17,McGraw Hill,2th,978-93-100316,6,CI-3-17
B00317,BE,Civil Engineering,TY,6,Surveying,Surveying - Complete Guide,Author 18,McGraw Hill,3th,978-93-100317,7,CI-3-18
B00318,BE,Civil Engineering,TY,6,Concrete Technology,Concrete Technology - Complete Guide,Author 19,McGraw Hill,4th,978-93-100318,8,CI-3-19
B00319,BE,Civil Engineering,TY,6,Transportation Engineering,Transportation Engineering - Complete Guide,Author 20,McGraw Hill,5th,978-93-100319,9,CI-3-20
B00320,BE,Civil Engineering,TY,6,Structural Analysis,Structural Analysis - Complete Guide,Author 21,McGraw Hill,1th,978-93-100320,2,CI-3-1
B00321,BE,Civil Engineering,LY,7,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 22,McGraw Hill,2th,978-93-100321,3,CI-4-2
B00322,BE,Civil Engineering,LY,7,Surveying,Surveying - Complete Guide,Author 23,McGraw Hill,3th,978-93-100322,4,CI-4-3
B00323,BE,Civil Engineering,LY,7,Concrete Technology,Concrete Technology - Complete Guide,Author 24,McGraw Hill,4th,978-93-100323,5,CI-4-4
B00324,BE,Civil Engineering,LY,7,Transportation Engineering,Transportation Engineering - Complete Guide,Author 25,McGraw Hill,5th,978-93-100324,6,CI-4-5
B00325,BE,Civil Engineering,LY,7,Structural Analysis,Structural Analysis - Complete Guide,Author 26,McGraw Hill,1th,978-93-100325,7,CI-4-6
B00326,BE,Civil Engineering,LY,8,Engineering Mechanics,Engineering Mechanics - Complete Guide,Author 27,McGraw Hill,2th,978-93-100326,8,CI-4-7
B00327,BE,Civil Engineering,LY,8,Surveying,Surveying - Complete Guide,Author 28,McGraw Hill,3th,978-93-100327,9,CI-4-8
B00328,BE,Civil Engineering,LY,8,Concrete Technology,Concrete Technology - Complete Guide,Author 29,McGraw Hill,4th,978-93-100328,2,CI-4-9
B00329,BE,Civil Engineering,LY,8,Transportation Engineering,Transportation Engineering - Complete Guide,Author 30,McGraw Hill,5th,978-93-100329,3,CI-4-10
B00330,BE,Civil Engineering,LY,8,Structural Analysis,Structural Analysis - Complete Guide,Author 31,McGraw Hill,1th,978-93-100330,4,CI-4-11
B00331,BE,Mechanical Engineering,FY,1,Engineering Drawing,Engineering Drawing - Complete Guide,Author 32,McGraw Hill,2th,978-93-100331,5,ME-1-12
B00332,BE,Mechanical Engineering,FY,1,Thermodynamics,Thermodynamics - Complete Guide,Author 33,McGraw Hill,3th,978-93-100332,6,ME-1-13
B00333,BE,Mechanical Engineering,FY,1,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 34,McGraw Hill,4th,978-93-100333,7,ME-1-14
B00334,BE,Mechanical Engineering,FY,1,CAD/CAM,CAD/CAM - Complete Guide,Author 35,McGraw Hill,5th,978-93-100334,8,ME-1-15
B00335,BE,Mechanical Engineering,FY,1,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 36,McGraw Hill,1th,978-93-100335,9,ME-1-16
B00336,BE,Mechanical Engineering,FY,2,Engineering Drawing,Engineering Drawing - Complete Guide,Author 37,McGraw Hill,2th,978-93-100336,2,ME-1-17
B00337,BE,Mechanical Engineering,FY,2,Thermodynamics,Thermodynamics - Complete Guide,Author 38,McGraw Hill,3th,978-93-100337,3,ME-1-18
B00338,BE,Mechanical Engineering,FY,2,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 39,McGraw Hill,4th,978-93-100338,4,ME-1-19
B00339,BE,Mechanical Engineering,FY,2,CAD/CAM,CAD/CAM - Complete Guide,Author 40,McGraw Hill,5th,978-93-100339,5,ME-1-20
B00340,BE,Mechanical Engineering,FY,2,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 41,McGraw Hill,1th,978-93-100340,6,ME-1-1
B00341,BE,Mechanical Engineering,SY,3,Engineering Drawing,Engineering Drawing - Complete Guide,Author 42,McGraw Hill,2th,978-93-100341,7,ME-2-2
B00342,BE,Mechanical Engineering,SY,3,Thermodynamics,Thermodynamics - Complete Guide,Author 43,McGraw Hill,3th,978-93-100342,8,ME-2-3
B00343,BE,Mechanical Engineering,SY,3,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 44,McGraw Hill,4th,978-93-100343,9,ME-2-4
B00344,BE,Mechanical Engineering,SY,3,CAD/CAM,CAD/CAM - Complete Guide,Author 45,McGraw Hill,5th,978-93-100344,2,ME-2-5
B00345,BE,Mechanical Engineering,SY,3,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 46,McGraw Hill,1th,978-93-100345,3,ME-2-6
B00346,BE,Mechanical Engineering,SY,4,Engineering Drawing,Engineering Drawing - Complete Guide,Author 47,McGraw Hill,2th,978-93-100346,4,ME-2-7
B00347,BE,Mechanical Engineering,SY,4,Thermodynamics,Thermodynamics - Complete Guide,Author 48,McGraw Hill,3th,978-93-100347,5,ME-2-8
B00348,BE,Mechanical Engineering,SY,4,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 49,McGraw Hill,4th,978-93-100348,6,ME-2-9
B00349,BE,Mechanical Engineering,SY,4,CAD/CAM,CAD/CAM - Complete Guide,Author 50,McGraw Hill,5th,978-93-100349,7,ME-2-10
B00350,BE,Mechanical Engineering,SY,4,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 1,McGraw Hill,1th,978-93-100350,8,ME-2-11
B00351,BE,Mechanical Engineering,TY,5,Engineering Drawing,Engineering Drawing - Complete Guide,Author 2,McGraw Hill,2th,978-93-100351,9,ME-3-12
B00352,BE,Mechanical Engineering,TY,5,Thermodynamics,Thermodynamics - Complete Guide,Author 3,McGraw Hill,3th,978-93-100352,2,ME-3-13
B00353,BE,Mechanical Engineering,TY,5,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 4,McGraw Hill,4th,978-93-100353,3,ME-3-14
B00354,BE,Mechanical Engineering,TY,5,CAD/CAM,CAD/CAM - Complete Guide,Author 5,McGraw Hill,5th,978-93-100354,4,ME-3-15
B00355,BE,Mechanical Engineering,TY,5,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 6,McGraw Hill,1th,978-93-100355,5,ME-3-16
B00356,BE,Mechanical Engineering,TY,6,Engineering Drawing,Engineering Drawing - Complete Guide,Author 7,McGraw Hill,2th,978-93-100356,6,ME-3-17
B00357,BE,Mechanical Engineering,TY,6,Thermodynamics,Thermodynamics - Complete Guide,Author 8,McGraw Hill,3th,978-93-100357,7,ME-3-18
B00358,BE,Mechanical Engineering,TY,6,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 9,McGraw Hill,4th,978-93-100358,8,ME-3-19
B00359,BE,Mechanical Engineering,TY,6,CAD/CAM,CAD/CAM - Complete Guide,Author 10,McGraw Hill,5th,978-93-100359,9,ME-3-20
B00360,BE,Mechanical Engineering,TY,6,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 11,McGraw Hill,1th,978-93-100360,2,ME-3-1
B00361,BE,Mechanical Engineering,LY,7,Engineering Drawing,Engineering Drawing - Complete Guide,Author 12,McGraw Hill,2th,978-93-100361,3,ME-4-2
B00362,BE,Mechanical Engineering,LY,7,Thermodynamics,Thermodynamics - Complete Guide,Author 13,McGraw Hill,3th,978-93-100362,4,ME-4-3
B00363,BE,Mechanical Engineering,LY,7,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 14,McGraw Hill,4th,978-93-100363,5,ME-4-4
B00364,BE,Mechanical Engineering,LY,7,CAD/CAM,CAD/CAM - Complete Guide,Author 15,McGraw Hill,5th,978-93-100364,6,ME-4-5
B00365,BE,Mechanical Engineering,LY,7,Manufacturing Technology,Manufacturing Technology - Complete Guide,Author 16,McGraw Hill,1th,978-93-100365,7,ME-4-6
B00366,BE,Mechanical Engineering,LY,8,Engineering Drawing,Engineering Drawing - Complete Guide,Author 17,McGraw Hill,2th,978-93-100366,8,ME-4-7
B00367,BE,Mechanical Engineering,LY,8,Thermodynamics,Thermodynamics - Complete Guide,Author 18,McGraw Hill,3th,978-93-100367,9,ME-4-8
B00368,BE,Mechanical Engineering,LY,8,Fluid Mechanics,Fluid Mechanics - Complete Guide,Author 19,McGraw Hill,4th,978-93-100368,2,ME-4-9
